Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
BCS,10.175,02/05/2024,11:50 EDT,-0.09500027,10.26,10.295,10.1501,8081496,,,,,,,
CBK.DE,13.925,02/05/2024,17:35 CEST,0.31500053,13.735,14.005,13.71,4865528,,,,,,,
KOTAKBANK.NS,1575.65,02/05/2024,15:30 IST,-48.299927,1590,1594.5,1552.4,26639208,,,,,,,
ZURN.SW,440.7,02/05/2024,17:30 CEST,-3.5,444.4,445.2,440.3,306036,,,,,,,
BLK,754.46,02/05/2024,11:50 EDT,2.880005,758.16,758.63,748.78,145800,,,,,,,
0005.HK,69.25,02/05/2024,16:08 HKT,2.25,68,69.25,67.95,43579704,,,,,,,
BNP.PA,67.45,02/05/2024,17:35 CEST,-0.16000366,67.61,67.97,67.04,1771056,,,,,,,
HDB,59.17,02/05/2024,11:50 EDT,1.0299988,58.75,59.17,58.6217,581476,,,,,,,
SBIN.NS,830.05,02/05/2024,15:30 IST,3.7999878,826.9,833.9,825,19941994,,,,,,,
3908.HK,9.8,02/05/2024,16:08 HKT,0.27999973,9.49,9.82,9.25,9664262,,,,,,,
2318.HK,38,02/05/2024,16:08 HKT,2.0499992,35.75,38.1,35.45,53070323,,,,,,,
BRK-B,399.2591,02/05/2024,11:50 EDT,0.67910767,401,401.3,397.89,716936,,,,,,,
DBK.DE,15.04,02/05/2024,17:35 CEST,0.029999733,15.098,15.286,14.934,7325283,,,,,,,
GS,429.935,02/05/2024,11:50 EDT,2.9849854,431.2,432.17,428.545,618813,,,,,,,
JPM,190.31,02/05/2024,11:50 EDT,-1.550003,193.07,193.47,190.18,1961336,,,,,,,
ALV.DE,267.4,02/05/2024,17:35 CEST,0.7999878,269,269.1,266.7,934684,,,,,,,
CS.PA,31.87,02/05/2024,17:35 CEST,-0.5699978,32.41,32.57,31.84,5021128,,,,,,,
